temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	3517.000000	3365.000000	3785.000000	594000	598208	Mon Oct 19 12:28:14 2020
75.000000	3475.000000	3348.000000	3814.000000	594000	599611	Mon Oct 19 13:24:21 2020
56.250000	3475.000000	3301.000000	3777.000000	594000	601606	Mon Oct 19 14:20:23 2020
42.187500	3462.000000	3334.000000	3761.000000	594000	604047	Mon Oct 19 15:16:25 2020
31.640625	3489.000000	3311.000000	3723.000000	594000	607607	Mon Oct 19 16:12:34 2020
23.730469	3522.000000	3237.000000	3680.000000	594000	612229	Mon Oct 19 17:08:50 2020
17.797852	3462.000000	3200.000000	3645.000000	594000	618139	Mon Oct 19 18:05:12 2020
13.348389	3344.000000	3126.000000	3600.000000	594000	626763	Mon Oct 19 19:01:46 2020
10.011292	3342.000000	3074.000000	3476.000000	594000	637683	Mon Oct 19 19:58:35 2020
7.508469	3160.000000	2974.000000	3403.000000	594000	653313	Mon Oct 19 20:55:52 2020
5.631351	3010.000000	2833.000000	3257.000000	594000	674506	Mon Oct 19 21:53:38 2020
4.223514	2854.000000	2678.000000	3038.000000	594000	702853	Mon Oct 19 22:52:07 2020
3.167635	2713.000000	2495.000000	2862.000000	594000	742567	Mon Oct 19 23:51:49 2020
2.375726	2457.000000	2230.000000	2716.000000	594000	798400	Tue Oct 20 00:53:05 2020
1.781795	2121.000000	1972.000000	2489.000000	594000	876609	Tue Oct 20 01:56:36 2020
1.336346	1756.000000	1670.000000	2122.000000	594000	986450	Tue Oct 20 03:03:21 2020
1.002260	1422.000000	1333.000000	1756.000000	594000	1140784	Tue Oct 20 04:15:17 2020
0.751695	1160.000000	1015.000000	1423.000000	594000	1354859	Tue Oct 20 05:35:40 2020
0.563771	774.000000	723.000000	1164.000000	594000	1651186	Tue Oct 20 07:09:03 2020
0.422828	497.000000	450.000000	774.000000	594000	2029114	Tue Oct 20 09:01:31 2020
0.317121	285.000000	234.000000	497.000000	573779	2376000	Tue Oct 20 11:12:58 2020
0.237841	128.000000	104.000000	285.000000	492387	2376000	Tue Oct 20 13:24:08 2020
0.178381	46.000000	36.000000	128.000000	451577	2376000	Tue Oct 20 15:35:19 2020
0.133786	11.000000	9.000000	46.000000	435368	2376000	Tue Oct 20 17:46:26 2020
0.100339	3.000000	3.000000	11.000000	432964	2376000	Tue Oct 20 19:57:30 2020
0.075254	2.000000	2.000000	4.000000	433729	2376000	Tue Oct 20 22:08:43 2020
0.056441	2.000000	2.000000	2.000000	432240	2376000	Wed Oct 21 00:19:55 2020
