temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	2804.000000	2651.000000	3033.000000	494000	497332	Fri Oct 23 15:04:07 2020
75.000000	2853.000000	2639.000000	3010.000000	494000	498508	Fri Oct 23 15:38:43 2020
56.250000	2863.000000	2629.000000	3031.000000	494000	500017	Fri Oct 23 16:13:23 2020
42.187500	2817.000000	2659.000000	3065.000000	494000	502109	Fri Oct 23 16:48:08 2020
31.640625	2857.000000	2602.000000	2967.000000	494000	504815	Fri Oct 23 17:22:48 2020
23.730469	2793.000000	2569.000000	2944.000000	494000	508543	Fri Oct 23 17:57:30 2020
17.797852	2771.000000	2528.000000	2914.000000	494000	513425	Fri Oct 23 18:32:20 2020
13.348389	2701.000000	2484.000000	2872.000000	494000	520276	Fri Oct 23 19:07:17 2020
10.011292	2707.000000	2415.000000	2783.000000	494000	528815	Fri Oct 23 19:42:21 2020
7.508469	2539.000000	2375.000000	2746.000000	494000	541373	Fri Oct 23 20:17:35 2020
5.631351	2381.000000	2279.000000	2595.000000	494000	557888	Fri Oct 23 20:53:06 2020
4.223514	2302.000000	2153.000000	2490.000000	494000	580615	Fri Oct 23 21:28:55 2020
3.167635	2143.000000	2015.000000	2325.000000	494000	612596	Fri Oct 23 22:05:26 2020
2.375726	1912.000000	1810.000000	2166.000000	494000	655853	Fri Oct 23 22:42:38 2020
1.781795	1736.000000	1586.000000	1917.000000	494000	717030	Fri Oct 23 23:21:03 2020
1.336346	1464.000000	1343.000000	1739.000000	494000	801385	Sat Oct 24 00:01:01 2020
1.002260	1226.000000	1068.000000	1464.000000	494000	923621	Sat Oct 24 00:43:09 2020
0.751695	924.000000	817.000000	1233.000000	494000	1092304	Sat Oct 24 01:27:40 2020
0.563771	651.000000	572.000000	925.000000	494000	1312807	Sat Oct 24 02:17:55 2020
0.422828	406.000000	375.000000	658.000000	494000	1602567	Sat Oct 24 03:18:23 2020
0.317121	249.000000	199.000000	406.000000	494000	1933337	Sat Oct 24 04:30:58 2020
0.237841	114.000000	86.000000	250.000000	433856	1976000	Sat Oct 24 05:45:04 2020
0.178381	37.000000	26.000000	114.000000	395856	1976000	Sat Oct 24 06:59:07 2020
0.133786	10.000000	8.000000	37.000000	382423	1976000	Sat Oct 24 08:13:09 2020
0.100339	4.000000	3.000000	10.000000	380856	1976000	Sat Oct 24 09:27:09 2020
0.075254	1.000000	1.000000	4.000000	377668	1976000	Sat Oct 24 10:41:09 2020
0.056441	0.000000	0.000000	1.000000	377094	1976000	Sat Oct 24 11:55:09 2020
0.042331	0.000000	0.000000	0.000000	377867	1976000	Sat Oct 24 13:09:11 2020
