temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	2427.000000	2323.000000	2657.000000	382750	385607	Tue Feb 16 07:36:29 2021
75.000000	2477.000000	2323.000000	2654.000000	382750	386440	Tue Feb 16 07:57:12 2021
56.250000	2439.000000	2309.000000	2634.000000	382750	387737	Tue Feb 16 08:17:38 2021
42.187500	2438.000000	2306.000000	2633.000000	382750	389370	Tue Feb 16 08:38:07 2021
31.640625	2519.000000	2261.000000	2612.000000	382750	391657	Tue Feb 16 08:58:37 2021
23.730469	2447.000000	2229.000000	2601.000000	382750	394532	Tue Feb 16 09:19:48 2021
17.797852	2476.000000	2212.000000	2613.000000	382750	398728	Tue Feb 16 09:40:13 2021
13.348389	2269.000000	2168.000000	2510.000000	382750	404134	Tue Feb 16 10:00:50 2021
10.011292	2234.000000	2121.000000	2464.000000	382750	411718	Tue Feb 16 10:21:50 2021
7.508469	2219.000000	2002.000000	2392.000000	382750	422277	Tue Feb 16 10:43:15 2021
5.631351	2118.000000	1951.000000	2283.000000	382750	435831	Tue Feb 16 11:04:30 2021
4.223514	1997.000000	1852.000000	2138.000000	382750	454731	Tue Feb 16 11:25:49 2021
3.167635	1898.000000	1709.000000	1997.000000	382750	481314	Tue Feb 16 11:47:13 2021
2.375726	1648.000000	1532.000000	1905.000000	382750	519191	Tue Feb 16 12:09:04 2021
1.781795	1481.000000	1330.000000	1649.000000	382750	571378	Tue Feb 16 12:31:34 2021
1.336346	1281.000000	1158.000000	1483.000000	382750	644894	Tue Feb 16 12:55:19 2021
1.002260	1055.000000	909.000000	1291.000000	382750	751123	Tue Feb 16 13:20:50 2021
0.751695	794.000000	693.000000	1068.000000	382750	895258	Tue Feb 16 13:48:24 2021
0.563771	614.000000	513.000000	794.000000	382750	1099139	Tue Feb 16 14:19:47 2021
0.422828	377.000000	322.000000	614.000000	382750	1361298	Tue Feb 16 14:54:42 2021
0.317121	230.000000	187.000000	377.000000	348301	1531000	Tue Feb 16 15:33:16 2021
0.237841	113.000000	87.000000	231.000000	293419	1531000	Tue Feb 16 16:13:29 2021
0.178381	33.000000	24.000000	113.000000	262942	1531000	Tue Feb 16 16:51:49 2021
0.133786	10.000000	6.000000	32.000000	250363	1531000	Tue Feb 16 17:31:08 2021
0.100339	1.000000	1.000000	10.000000	247682	1531000	Tue Feb 16 18:09:04 2021
0.075254	1.000000	1.000000	2.000000	247564	1531000	Tue Feb 16 18:49:36 2021
0.056441	1.000000	1.000000	1.000000	248197	1531000	Tue Feb 16 19:29:05 2021
