temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	1175.000000	1049.000000	1253.000000	204500	205882	Mon Oct 19 11:37:52 2020
75.000000	1143.000000	1041.000000	1273.000000	204500	206339	Mon Oct 19 11:43:16 2020
56.250000	1188.000000	1037.000000	1245.000000	204500	206926	Mon Oct 19 11:48:37 2020
42.187500	1207.000000	1031.000000	1278.000000	204500	207674	Mon Oct 19 11:54:23 2020
31.640625	1154.000000	1015.000000	1248.000000	204500	208876	Mon Oct 19 12:00:15 2020
23.730469	1124.000000	1012.000000	1254.000000	204500	210220	Mon Oct 19 12:05:17 2020
17.797852	1087.000000	983.000000	1204.000000	204500	212266	Mon Oct 19 12:11:22 2020
13.348389	1085.000000	987.000000	1200.000000	204500	214818	Mon Oct 19 12:16:19 2020
10.011292	1058.000000	958.000000	1166.000000	204500	218411	Mon Oct 19 12:21:41 2020
7.508469	1041.000000	922.000000	1146.000000	204500	223380	Mon Oct 19 12:26:42 2020
5.631351	959.000000	870.000000	1084.000000	204500	230232	Mon Oct 19 12:32:38 2020
4.223514	902.000000	819.000000	1037.000000	204500	238878	Mon Oct 19 12:38:39 2020
3.167635	893.000000	764.000000	988.000000	204500	251531	Mon Oct 19 12:43:57 2020
2.375726	776.000000	710.000000	894.000000	204500	269337	Mon Oct 19 12:49:08 2020
1.781795	695.000000	596.000000	789.000000	204500	293310	Mon Oct 19 12:54:46 2020
1.336346	568.000000	525.000000	700.000000	204500	326944	Mon Oct 19 13:02:01 2020
1.002260	496.000000	418.000000	569.000000	204500	376276	Mon Oct 19 13:08:47 2020
0.751695	384.000000	321.000000	497.000000	204500	441206	Mon Oct 19 13:15:58 2020
0.563771	269.000000	229.000000	384.000000	204500	532175	Mon Oct 19 13:25:31 2020
0.422828	179.000000	141.000000	269.000000	204500	646654	Mon Oct 19 13:33:51 2020
0.317121	106.000000	76.000000	179.000000	204500	776361	Mon Oct 19 13:45:34 2020
0.237841	43.000000	29.000000	106.000000	186755	818000	Mon Oct 19 13:55:14 2020
0.178381	15.000000	7.000000	43.000000	170004	818000	Mon Oct 19 14:07:36 2020
0.133786	4.000000	1.000000	16.000000	165588	818000	Mon Oct 19 14:16:55 2020
0.100339	1.000000	0.000000	4.000000	163955	818000	Mon Oct 19 14:25:36 2020
0.075254	0.000000	0.000000	1.000000	163304	818000	Mon Oct 19 14:36:15 2020
0.056441	0.000000	0.000000	0.000000	162148	818000	Mon Oct 19 14:45:31 2020
