temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	3587.000000	3437.000000	3894.000000	508250	512096	Sun Feb 14 12:47:10 2021
75.000000	3610.000000	3387.000000	3828.000000	508250	513486	Sun Feb 14 13:28:54 2021
56.250000	3663.000000	3383.000000	3797.000000	508250	515180	Sun Feb 14 14:10:36 2021
42.187500	3569.000000	3374.000000	3781.000000	508250	517570	Sun Feb 14 14:52:20 2021
31.640625	3540.000000	3366.000000	3771.000000	508250	520554	Sun Feb 14 15:34:06 2021
23.730469	3605.000000	3318.000000	3724.000000	508250	524685	Sun Feb 14 16:15:56 2021
17.797852	3461.000000	3291.000000	3704.000000	508250	530530	Sun Feb 14 16:57:51 2021
13.348389	3355.000000	3209.000000	3616.000000	508250	538574	Sun Feb 14 17:39:56 2021
10.011292	3330.000000	3160.000000	3524.000000	508250	548753	Sun Feb 14 18:22:20 2021
7.508469	3247.000000	3021.000000	3438.000000	508250	562677	Sun Feb 14 19:04:55 2021
5.631351	3080.000000	2928.000000	3317.000000	508250	581681	Sun Feb 14 19:47:52 2021
4.223514	2925.000000	2758.000000	3151.000000	508250	609074	Sun Feb 14 20:31:27 2021
3.167635	2716.000000	2583.000000	2972.000000	508250	645928	Sun Feb 14 21:15:48 2021
2.375726	2459.000000	2358.000000	2716.000000	508250	698693	Sun Feb 14 22:01:20 2021
1.781795	2208.000000	2080.000000	2465.000000	508250	771645	Sun Feb 14 22:48:37 2021
1.336346	1891.000000	1768.000000	2208.000000	508250	880818	Sun Feb 14 23:38:28 2021
1.002260	1590.000000	1488.000000	1889.000000	508250	1030830	Mon Feb 15 00:31:50 2021
0.751695	1277.000000	1152.000000	1598.000000	508250	1252404	Mon Feb 15 01:30:36 2021
0.563771	987.000000	879.000000	1277.000000	508250	1573849	Mon Feb 15 02:40:48 2021
0.422828	647.000000	582.000000	991.000000	508250	2014668	Mon Feb 15 04:08:10 2021
0.317121	430.000000	380.000000	652.000000	398159	2033000	Mon Feb 15 05:33:58 2021
0.237841	233.000000	210.000000	430.000000	319978	2033000	Mon Feb 15 06:58:57 2021
0.178381	110.000000	106.000000	233.000000	273850	2033000	Mon Feb 15 08:23:49 2021
0.133786	56.000000	52.000000	110.000000	248372	2033000	Mon Feb 15 09:48:40 2021
0.100339	35.000000	35.000000	56.000000	244543	2033000	Mon Feb 15 11:13:29 2021
0.075254	30.000000	30.000000	35.000000	240108	2033000	Mon Feb 15 12:38:17 2021
0.056441	28.000000	28.000000	30.000000	240704	2033000	Mon Feb 15 14:03:06 2021
0.042331	26.000000	26.000000	28.000000	237082	2033000	Mon Feb 15 15:27:53 2021
0.031748	26.000000	26.000000	26.000000	239080	2033000	Mon Feb 15 16:52:42 2021
