temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	1913.000000	1700.000000	2061.000000	306250	308567	Mon Oct 12 23:57:25 2020
75.000000	1888.000000	1736.000000	2051.000000	306250	309331	Tue Oct 13 00:09:27 2020
56.250000	1790.000000	1708.000000	2042.000000	306250	310364	Tue Oct 13 00:21:28 2020
42.187500	1836.000000	1656.000000	1980.000000	306250	311686	Tue Oct 13 00:33:29 2020
31.640625	1842.000000	1680.000000	2006.000000	306250	313737	Tue Oct 13 00:45:42 2020
23.730469	1778.000000	1668.000000	1981.000000	306250	316038	Tue Oct 13 00:58:33 2020
17.797852	1760.000000	1638.000000	1930.000000	306250	319284	Tue Oct 13 01:10:26 2020
13.348389	1734.000000	1571.000000	1900.000000	306250	323938	Tue Oct 13 01:22:40 2020
10.011292	1615.000000	1555.000000	1893.000000	306250	329889	Tue Oct 13 01:34:51 2020
7.508469	1626.000000	1491.000000	1794.000000	306250	338080	Tue Oct 13 01:47:07 2020
5.631351	1538.000000	1415.000000	1716.000000	306250	350104	Tue Oct 13 01:59:11 2020
4.223514	1451.000000	1338.000000	1607.000000	306250	365540	Tue Oct 13 02:12:01 2020
3.167635	1338.000000	1230.000000	1500.000000	306250	387627	Tue Oct 13 02:24:48 2020
2.375726	1239.000000	1084.000000	1333.000000	306250	418320	Tue Oct 13 02:37:20 2020
1.781795	1030.000000	939.000000	1247.000000	306250	460450	Tue Oct 13 02:51:18 2020
1.336346	861.000000	785.000000	1047.000000	306250	519316	Tue Oct 13 03:04:44 2020
1.002260	728.000000	603.000000	861.000000	306250	602512	Tue Oct 13 03:18:18 2020
0.751695	539.000000	442.000000	732.000000	306250	719683	Tue Oct 13 03:32:21 2020
0.563771	386.000000	298.000000	541.000000	306250	871676	Tue Oct 13 03:49:36 2020
0.422828	211.000000	168.000000	386.000000	306250	1072493	Tue Oct 13 04:09:13 2020
0.317121	116.000000	89.000000	214.000000	293152	1225000	Tue Oct 13 04:30:50 2020
0.237841	44.000000	32.000000	116.000000	257418	1225000	Tue Oct 13 04:53:13 2020
0.178381	12.000000	8.000000	44.000000	240888	1225000	Tue Oct 13 05:15:23 2020
0.133786	7.000000	2.000000	12.000000	235422	1225000	Tue Oct 13 05:38:10 2020
0.100339	1.000000	1.000000	7.000000	233484	1225000	Tue Oct 13 06:01:21 2020
0.075254	1.000000	1.000000	1.000000	233667	1225000	Tue Oct 13 06:22:28 2020
