temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	4355.000000	4119.000000	4527.000000	655000	659873	Tue Feb 16 13:12:47 2021
75.000000	4355.000000	4099.000000	4514.000000	655000	661356	Tue Feb 16 14:29:27 2021
56.250000	4299.000000	4034.000000	4495.000000	655000	663574	Tue Feb 16 15:46:00 2021
42.187500	4187.000000	4058.000000	4467.000000	655000	666561	Tue Feb 16 17:02:47 2021
31.640625	4297.000000	3960.000000	4437.000000	655000	670099	Tue Feb 16 18:19:43 2021
23.730469	4156.000000	3942.000000	4438.000000	655000	675249	Tue Feb 16 19:36:45 2021
17.797852	4083.000000	3897.000000	4339.000000	655000	682374	Tue Feb 16 20:54:01 2021
13.348389	3910.000000	3826.000000	4258.000000	655000	691962	Tue Feb 16 22:11:47 2021
10.011292	3962.000000	3749.000000	4182.000000	655000	704662	Tue Feb 16 23:30:00 2021
7.508469	3818.000000	3599.000000	4094.000000	655000	721854	Wed Feb 17 00:48:57 2021
5.631351	3736.000000	3476.000000	3957.000000	655000	745682	Wed Feb 17 02:08:44 2021
4.223514	3401.000000	3308.000000	3739.000000	655000	778058	Wed Feb 17 03:30:00 2021
3.167635	3211.000000	3049.000000	3456.000000	655000	822212	Wed Feb 17 04:53:05 2021
2.375726	2935.000000	2764.000000	3238.000000	655000	886907	Wed Feb 17 06:19:05 2021
1.781795	2605.000000	2451.000000	2934.000000	655000	975703	Wed Feb 17 07:48:54 2021
1.336346	2252.000000	2079.000000	2606.000000	655000	1104143	Wed Feb 17 09:24:33 2021
1.002260	1864.000000	1703.000000	2250.000000	655000	1282817	Wed Feb 17 11:08:42 2021
0.751695	1417.000000	1343.000000	1867.000000	655000	1534663	Wed Feb 17 13:07:36 2021
0.563771	1067.000000	986.000000	1419.000000	655000	1891063	Wed Feb 17 15:30:14 2021
0.422828	703.000000	665.000000	1067.000000	655000	2379785	Wed Feb 17 18:28:44 2021
0.317121	458.000000	393.000000	703.000000	576132	2620000	Wed Feb 17 21:44:58 2021
0.237841	219.000000	187.000000	458.000000	475121	2620000	Thu Feb 18 01:01:02 2021
0.178381	91.000000	63.000000	219.000000	417534	2620000	Thu Feb 18 04:17:09 2021
0.133786	18.000000	18.000000	91.000000	392731	2620000	Thu Feb 18 07:33:16 2021
0.100339	11.000000	11.000000	18.000000	384829	2620000	Thu Feb 18 10:49:13 2021
0.075254	4.000000	4.000000	11.000000	382851	2620000	Thu Feb 18 14:05:17 2021
0.056441	2.000000	2.000000	4.000000	381819	2620000	Thu Feb 18 17:21:23 2021
0.042331	1.000000	1.000000	2.000000	382975	2620000	Thu Feb 18 20:37:24 2021
0.031748	0.000000	0.000000	1.000000	379251	2620000	Thu Feb 18 23:53:26 2021
0.023811	0.000000	0.000000	0.000000	380249	2620000	Fri Feb 19 03:09:26 2021
