temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	2933.000000	2693.000000	3088.000000	618000	621600	Fri Oct 16 10:49:35 2020
75.000000	3024.000000	2731.000000	3067.000000	618000	623005	Fri Oct 16 11:44:49 2020
56.250000	2945.000000	2719.000000	3095.000000	618000	624490	Fri Oct 16 12:40:09 2020
42.187500	2912.000000	2718.000000	3095.000000	618000	626823	Fri Oct 16 13:35:37 2020
31.640625	2872.000000	2670.000000	3030.000000	618000	629667	Fri Oct 16 14:30:58 2020
23.730469	2868.000000	2656.000000	2989.000000	618000	633584	Fri Oct 16 15:26:27 2020
17.797852	2744.000000	2618.000000	2962.000000	618000	638968	Fri Oct 16 16:22:07 2020
13.348389	2750.000000	2554.000000	2953.000000	618000	646194	Fri Oct 16 17:17:56 2020
10.011292	2713.000000	2498.000000	2854.000000	618000	656194	Fri Oct 16 18:13:55 2020
7.508469	2535.000000	2452.000000	2759.000000	618000	669347	Fri Oct 16 19:10:22 2020
5.631351	2462.000000	2323.000000	2705.000000	618000	686540	Fri Oct 16 20:07:12 2020
4.223514	2403.000000	2227.000000	2512.000000	618000	711071	Fri Oct 16 21:04:29 2020
3.167635	2210.000000	2053.000000	2440.000000	618000	744740	Fri Oct 16 22:02:36 2020
2.375726	1949.000000	1899.000000	2220.000000	618000	790276	Fri Oct 16 23:01:40 2020
1.781795	1842.000000	1644.000000	1959.000000	618000	853830	Sat Oct 17 00:02:20 2020
1.336346	1572.000000	1434.000000	1848.000000	618000	943239	Sat Oct 17 01:05:47 2020
1.002260	1253.000000	1137.000000	1573.000000	618000	1067309	Sat Oct 17 02:14:37 2020
0.751695	942.000000	880.000000	1253.000000	618000	1234139	Sat Oct 17 03:32:41 2020
0.563771	765.000000	628.000000	942.000000	618000	1459226	Sat Oct 17 05:04:13 2020
0.422828	423.000000	381.000000	765.000000	618000	1744183	Sat Oct 17 06:53:24 2020
0.317121	247.000000	193.000000	423.000000	618000	2058303	Sat Oct 17 09:02:12 2020
0.237841	120.000000	76.000000	248.000000	618000	2333205	Sat Oct 17 11:28:04 2020
0.178381	30.000000	15.000000	120.000000	611215	2472000	Sat Oct 17 14:02:31 2020
0.133786	8.000000	4.000000	31.000000	594735	2472000	Sat Oct 17 16:36:59 2020
0.100339	1.000000	0.000000	9.000000	591261	2472000	Sat Oct 17 19:11:29 2020
0.075254	0.000000	0.000000	1.000000	590591	2472000	Sat Oct 17 21:45:57 2020
0.056441	0.000000	0.000000	0.000000	590601	2472000	Sun Oct 18 00:20:25 2020
