temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	416.000000	354.000000	488.000000	85000	85503	Fri Oct 16 09:55:00 2020
75.000000	429.000000	351.000000	481.000000	85000	85676	Fri Oct 16 09:55:52 2020
56.250000	388.000000	341.000000	489.000000	85000	85926	Fri Oct 16 09:56:55 2020
42.187500	393.000000	332.000000	472.000000	85000	86203	Fri Oct 16 09:57:46 2020
31.640625	404.000000	342.000000	494.000000	85000	86640	Fri Oct 16 09:58:44 2020
23.730469	420.000000	337.000000	476.000000	85000	87149	Fri Oct 16 09:59:36 2020
17.797852	367.000000	326.000000	470.000000	85000	88096	Fri Oct 16 10:00:58 2020
13.348389	384.000000	320.000000	469.000000	85000	89051	Fri Oct 16 10:01:55 2020
10.011292	405.000000	316.000000	453.000000	85000	90380	Fri Oct 16 10:03:02 2020
7.508469	393.000000	310.000000	446.000000	85000	92314	Fri Oct 16 10:03:54 2020
5.631351	346.000000	288.000000	422.000000	85000	94852	Fri Oct 16 10:04:46 2020
4.223514	325.000000	292.000000	406.000000	85000	98209	Fri Oct 16 10:05:40 2020
3.167635	345.000000	259.000000	376.000000	85000	103368	Fri Oct 16 10:07:06 2020
2.375726	291.000000	230.000000	345.000000	85000	109889	Fri Oct 16 10:08:04 2020
1.781795	305.000000	205.000000	318.000000	85000	118948	Fri Oct 16 10:09:11 2020
1.336346	219.000000	162.000000	305.000000	85000	131345	Fri Oct 16 10:10:10 2020
1.002260	167.000000	130.000000	222.000000	85000	149299	Fri Oct 16 10:11:11 2020
0.751695	142.000000	100.000000	169.000000	85000	172186	Fri Oct 16 10:12:17 2020
0.563771	97.000000	63.000000	142.000000	85000	204717	Fri Oct 16 10:13:46 2020
0.422828	78.000000	44.000000	100.000000	85000	241974	Fri Oct 16 10:15:04 2020
0.317121	39.000000	17.000000	78.000000	85000	286250	Fri Oct 16 10:16:32 2020
0.237841	14.000000	4.000000	40.000000	85000	320639	Fri Oct 16 10:18:32 2020
0.178381	8.000000	1.000000	17.000000	84619	340000	Fri Oct 16 10:20:32 2020
0.133786	0.000000	0.000000	8.000000	82274	340000	Fri Oct 16 10:22:14 2020
0.100339	0.000000	0.000000	1.000000	81914	340000	Fri Oct 16 10:25:14 2020
0.075254	0.000000	0.000000	0.000000	82078	340000	Fri Oct 16 10:26:55 2020
