temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	808.000000	673.000000	899.000000	131500	132481	Sun Feb 14 10:37:51 2021
75.000000	774.000000	707.000000	896.000000	131500	132662	Sun Feb 14 10:40:12 2021
56.250000	797.000000	704.000000	896.000000	131500	133193	Sun Feb 14 10:42:37 2021
42.187500	802.000000	670.000000	920.000000	131500	133735	Sun Feb 14 10:45:06 2021
31.640625	774.000000	676.000000	864.000000	131500	134537	Sun Feb 14 10:47:35 2021
23.730469	745.000000	675.000000	873.000000	131500	135555	Sun Feb 14 10:50:10 2021
17.797852	693.000000	656.000000	858.000000	131500	136795	Sun Feb 14 10:52:29 2021
13.348389	740.000000	650.000000	847.000000	131500	138582	Sun Feb 14 10:55:03 2021
10.011292	702.000000	631.000000	822.000000	131500	141327	Sun Feb 14 10:57:39 2021
7.508469	711.000000	618.000000	793.000000	131500	144692	Sun Feb 14 11:00:12 2021
5.631351	694.000000	586.000000	779.000000	131500	149238	Sun Feb 14 11:02:40 2021
4.223514	622.000000	557.000000	733.000000	131500	155810	Sun Feb 14 11:05:29 2021
3.167635	612.000000	522.000000	678.000000	131500	164514	Sun Feb 14 11:08:28 2021
2.375726	524.000000	442.000000	619.000000	131500	177269	Sun Feb 14 11:11:33 2021
1.781795	507.000000	406.000000	552.000000	131500	194130	Sun Feb 14 11:14:22 2021
1.336346	420.000000	338.000000	508.000000	131500	219376	Sun Feb 14 11:17:15 2021
1.002260	359.000000	265.000000	421.000000	131500	254703	Sun Feb 14 11:20:04 2021
0.751695	260.000000	203.000000	362.000000	131500	303201	Sun Feb 14 11:23:37 2021
0.563771	175.000000	138.000000	262.000000	131500	374465	Sun Feb 14 11:27:07 2021
0.422828	123.000000	89.000000	179.000000	131500	463008	Sun Feb 14 11:32:35 2021
0.317121	74.000000	46.000000	124.000000	122117	526000	Sun Feb 14 11:38:50 2021
0.237841	32.000000	18.000000	74.000000	103118	526000	Sun Feb 14 11:44:53 2021
0.178381	10.000000	4.000000	32.000000	92863	526000	Sun Feb 14 11:50:18 2021
0.133786	2.000000	0.000000	11.000000	89496	526000	Sun Feb 14 11:54:50 2021
0.100339	0.000000	0.000000	2.000000	89127	526000	Sun Feb 14 11:59:27 2021
0.075254	0.000000	0.000000	0.000000	88479	526000	Sun Feb 14 12:04:45 2021
