temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	1430.000000	1300.000000	1581.000000	211750	213336	Fri Oct 23 14:36:21 2020
75.000000	1399.000000	1261.000000	1561.000000	211750	213897	Fri Oct 23 14:42:29 2020
56.250000	1463.000000	1257.000000	1537.000000	211750	214601	Fri Oct 23 14:48:31 2020
42.187500	1405.000000	1283.000000	1577.000000	211750	215610	Fri Oct 23 14:54:41 2020
31.640625	1391.000000	1279.000000	1529.000000	211750	216824	Fri Oct 23 15:00:32 2020
23.730469	1369.000000	1253.000000	1496.000000	211750	218562	Fri Oct 23 15:06:38 2020
17.797852	1364.000000	1209.000000	1511.000000	211750	220950	Fri Oct 23 15:12:45 2020
13.348389	1369.000000	1168.000000	1462.000000	211750	224030	Fri Oct 23 15:18:29 2020
10.011292	1277.000000	1180.000000	1403.000000	211750	228594	Fri Oct 23 15:24:18 2020
7.508469	1320.000000	1112.000000	1382.000000	211750	234001	Fri Oct 23 15:30:28 2020
5.631351	1213.000000	1090.000000	1334.000000	211750	242255	Fri Oct 23 15:37:23 2020
4.223514	1093.000000	1017.000000	1274.000000	211750	252615	Fri Oct 23 15:43:42 2020
3.167635	1011.000000	949.000000	1184.000000	211750	268177	Fri Oct 23 15:50:01 2020
2.375726	970.000000	845.000000	1057.000000	211750	289410	Fri Oct 23 15:56:49 2020
1.781795	787.000000	752.000000	972.000000	211750	318535	Fri Oct 23 16:03:36 2020
1.336346	716.000000	634.000000	813.000000	211750	359315	Fri Oct 23 16:09:43 2020
1.002260	586.000000	519.000000	714.000000	211750	418100	Fri Oct 23 16:17:06 2020
0.751695	469.000000	393.000000	588.000000	211750	500391	Fri Oct 23 16:24:52 2020
0.563771	326.000000	286.000000	469.000000	211750	611608	Fri Oct 23 16:32:56 2020
0.422828	220.000000	189.000000	328.000000	211750	763895	Fri Oct 23 16:41:45 2020
0.317121	150.000000	109.000000	220.000000	190489	847000	Fri Oct 23 16:51:58 2020
0.237841	83.000000	64.000000	150.000000	163317	847000	Fri Oct 23 17:01:52 2020
0.178381	39.000000	26.000000	83.000000	145930	847000	Fri Oct 23 17:12:20 2020
0.133786	14.000000	13.000000	39.000000	138192	847000	Fri Oct 23 17:21:09 2020
0.100339	6.000000	6.000000	15.000000	133998	847000	Fri Oct 23 17:29:59 2020
0.075254	5.000000	5.000000	6.000000	134670	847000	Fri Oct 23 17:38:24 2020
0.056441	5.000000	5.000000	5.000000	134719	847000	Fri Oct 23 17:46:54 2020
