temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	2268.000000	2142.000000	2469.000000	375750	378358	Sun Feb 14 10:54:37 2021
75.000000	2327.000000	2109.000000	2433.000000	375750	379371	Sun Feb 14 11:13:42 2021
56.250000	2254.000000	2090.000000	2434.000000	375750	380412	Sun Feb 14 11:32:28 2021
42.187500	2247.000000	2120.000000	2443.000000	375750	381978	Sun Feb 14 11:50:58 2021
31.640625	2263.000000	2079.000000	2416.000000	375750	384251	Sun Feb 14 12:09:28 2021
23.730469	2216.000000	2073.000000	2360.000000	375750	386999	Sun Feb 14 12:28:46 2021
17.797852	2158.000000	2024.000000	2361.000000	375750	391026	Sun Feb 14 12:47:23 2021
13.348389	2124.000000	1998.000000	2313.000000	375750	396292	Sun Feb 14 13:06:15 2021
10.011292	2107.000000	1948.000000	2275.000000	375750	403479	Sun Feb 14 13:24:53 2021
7.508469	2078.000000	1889.000000	2178.000000	375750	412953	Sun Feb 14 13:45:08 2021
5.631351	1966.000000	1784.000000	2096.000000	375750	426213	Sun Feb 14 14:04:35 2021
4.223514	1846.000000	1688.000000	1999.000000	375750	443742	Sun Feb 14 14:24:14 2021
3.167635	1690.000000	1531.000000	1884.000000	375750	468370	Sun Feb 14 14:44:58 2021
2.375726	1545.000000	1419.000000	1702.000000	375750	503033	Sun Feb 14 15:05:28 2021
1.781795	1369.000000	1251.000000	1548.000000	375750	550968	Sun Feb 14 15:26:10 2021
1.336346	1165.000000	1059.000000	1371.000000	375750	620070	Sun Feb 14 15:49:18 2021
1.002260	973.000000	865.000000	1165.000000	375750	716625	Sun Feb 14 16:12:06 2021
0.751695	759.000000	656.000000	976.000000	375750	847193	Sun Feb 14 16:37:00 2021
0.563771	528.000000	481.000000	759.000000	375750	1030532	Sun Feb 14 17:04:35 2021
0.422828	351.000000	302.000000	528.000000	375750	1266423	Sun Feb 14 17:37:08 2021
0.317121	196.000000	173.000000	351.000000	365168	1503000	Sun Feb 14 18:13:50 2021
0.237841	99.000000	82.000000	197.000000	310534	1503000	Sun Feb 14 18:50:51 2021
0.178381	38.000000	29.000000	99.000000	281635	1503000	Sun Feb 14 19:30:46 2021
0.133786	13.000000	10.000000	38.000000	269975	1503000	Sun Feb 14 20:07:49 2021
0.100339	6.000000	6.000000	13.000000	263821	1503000	Sun Feb 14 20:46:19 2021
0.075254	5.000000	5.000000	7.000000	264505	1503000	Sun Feb 14 21:24:06 2021
0.056441	4.000000	4.000000	5.000000	263947	1503000	Sun Feb 14 22:01:04 2021
0.042331	4.000000	4.000000	4.000000	263546	1503000	Sun Feb 14 22:38:41 2021
