temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	943.000000	881.000000	1146.000000	170250	171468	Thu Oct 15 11:47:47 2020
75.000000	1044.000000	891.000000	1125.000000	170250	171874	Thu Oct 15 11:51:40 2020
56.250000	1034.000000	898.000000	1128.000000	170250	172330	Thu Oct 15 11:55:37 2020
42.187500	982.000000	869.000000	1118.000000	170250	173158	Thu Oct 15 11:59:48 2020
31.640625	1060.000000	887.000000	1099.000000	170250	174082	Thu Oct 15 12:03:40 2020
23.730469	984.000000	870.000000	1085.000000	170250	175449	Thu Oct 15 12:08:10 2020
17.797852	993.000000	867.000000	1085.000000	170250	177114	Thu Oct 15 12:12:23 2020
13.348389	946.000000	836.000000	1064.000000	170250	179411	Thu Oct 15 12:16:29 2020
10.011292	914.000000	831.000000	1022.000000	170250	182659	Thu Oct 15 12:20:32 2020
7.508469	854.000000	778.000000	990.000000	170250	187090	Thu Oct 15 12:24:47 2020
5.631351	844.000000	747.000000	940.000000	170250	192803	Thu Oct 15 12:29:17 2020
4.223514	792.000000	709.000000	907.000000	170250	201160	Thu Oct 15 12:33:26 2020
3.167635	779.000000	658.000000	844.000000	170250	212416	Thu Oct 15 12:37:08 2020
2.375726	664.000000	591.000000	795.000000	170250	227921	Thu Oct 15 12:41:03 2020
1.781795	583.000000	517.000000	676.000000	170250	250666	Thu Oct 15 12:46:14 2020
1.336346	523.000000	435.000000	597.000000	170250	281872	Thu Oct 15 12:50:49 2020
1.002260	427.000000	331.000000	526.000000	170250	325772	Thu Oct 15 12:55:23 2020
0.751695	311.000000	262.000000	429.000000	170250	387806	Thu Oct 15 13:00:37 2020
0.563771	234.000000	159.000000	312.000000	170250	469517	Thu Oct 15 13:06:31 2020
0.422828	131.000000	102.000000	235.000000	170250	570853	Thu Oct 15 13:13:05 2020
0.317121	73.000000	51.000000	134.000000	166920	681000	Thu Oct 15 13:19:51 2020
0.237841	38.000000	17.000000	75.000000	145021	681000	Thu Oct 15 13:26:30 2020
0.178381	7.000000	2.000000	38.000000	131104	681000	Thu Oct 15 13:33:54 2020
0.133786	4.000000	0.000000	9.000000	129394	681000	Thu Oct 15 13:41:36 2020
0.100339	0.000000	0.000000	4.000000	128361	681000	Thu Oct 15 13:47:36 2020
0.075254	0.000000	0.000000	0.000000	128174	681000	Thu Oct 15 13:55:07 2020
