temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	878.000000	775.000000	966.000000	153250	154230	Tue Feb 16 05:38:29 2021
75.000000	853.000000	770.000000	943.000000	153250	154617	Tue Feb 16 05:41:16 2021
56.250000	796.000000	754.000000	964.000000	153250	155011	Tue Feb 16 05:44:10 2021
42.187500	888.000000	759.000000	956.000000	153250	155667	Tue Feb 16 05:47:20 2021
31.640625	831.000000	740.000000	949.000000	153250	156518	Tue Feb 16 05:50:42 2021
23.730469	826.000000	718.000000	946.000000	153250	157629	Tue Feb 16 05:53:33 2021
17.797852	782.000000	741.000000	931.000000	153250	158959	Tue Feb 16 05:56:28 2021
13.348389	824.000000	699.000000	905.000000	153250	161105	Tue Feb 16 05:59:30 2021
10.011292	810.000000	704.000000	891.000000	153250	163858	Tue Feb 16 06:02:19 2021
7.508469	803.000000	687.000000	876.000000	153250	167436	Tue Feb 16 06:05:10 2021
5.631351	730.000000	663.000000	845.000000	153250	172352	Tue Feb 16 06:08:19 2021
4.223514	752.000000	612.000000	796.000000	153250	179381	Tue Feb 16 06:11:12 2021
3.167635	677.000000	585.000000	758.000000	153250	188703	Tue Feb 16 06:14:18 2021
2.375726	585.000000	511.000000	693.000000	153250	202294	Tue Feb 16 06:17:13 2021
1.781795	535.000000	460.000000	614.000000	153250	220699	Tue Feb 16 06:20:48 2021
1.336346	407.000000	390.000000	535.000000	153250	246836	Tue Feb 16 06:23:58 2021
1.002260	380.000000	319.000000	428.000000	153250	284668	Tue Feb 16 06:27:24 2021
0.751695	280.000000	240.000000	379.000000	153250	334543	Tue Feb 16 06:31:24 2021
0.563771	207.000000	171.000000	280.000000	153250	406690	Tue Feb 16 06:34:54 2021
0.422828	142.000000	105.000000	212.000000	153250	500320	Tue Feb 16 06:39:45 2021
0.317121	74.000000	57.000000	142.000000	153250	606301	Tue Feb 16 06:45:42 2021
0.237841	48.000000	23.000000	74.000000	130233	613000	Tue Feb 16 06:50:51 2021
0.178381	9.000000	7.000000	47.000000	118490	613000	Tue Feb 16 06:55:33 2021
0.133786	3.000000	2.000000	10.000000	113155	613000	Tue Feb 16 07:00:16 2021
0.100339	1.000000	0.000000	3.000000	111512	613000	Tue Feb 16 07:05:12 2021
0.075254	0.000000	0.000000	1.000000	111089	613000	Tue Feb 16 07:10:26 2021
0.056441	0.000000	0.000000	0.000000	111788	613000	Tue Feb 16 07:15:43 2021
