temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	3764.000000	3517.000000	3982.000000	568250	572744	Tue Oct 13 00:37:16 2020
75.000000	3682.000000	3515.000000	3931.000000	568250	574159	Tue Oct 13 01:29:17 2020
56.250000	3707.000000	3454.000000	3939.000000	568250	575993	Tue Oct 13 02:21:21 2020
42.187500	3680.000000	3436.000000	3883.000000	568250	578644	Tue Oct 13 03:13:25 2020
31.640625	3679.000000	3430.000000	3845.000000	568250	582286	Tue Oct 13 04:05:36 2020
23.730469	3603.000000	3358.000000	3826.000000	568250	587016	Tue Oct 13 04:57:53 2020
17.797852	3550.000000	3334.000000	3774.000000	568250	593479	Tue Oct 13 05:50:26 2020
13.348389	3484.000000	3272.000000	3688.000000	568250	601681	Tue Oct 13 06:43:03 2020
10.011292	3307.000000	3174.000000	3568.000000	568250	614054	Tue Oct 13 07:35:52 2020
7.508469	3256.000000	3072.000000	3545.000000	568250	630217	Tue Oct 13 08:29:06 2020
5.631351	3124.000000	2942.000000	3335.000000	568250	651784	Tue Oct 13 09:22:52 2020
4.223514	2940.000000	2764.000000	3152.000000	568250	681551	Tue Oct 13 10:17:26 2020
3.167635	2730.000000	2521.000000	2959.000000	568250	723469	Tue Oct 13 11:12:59 2020
2.375726	2470.000000	2265.000000	2734.000000	568250	784396	Tue Oct 13 12:10:01 2020
1.781795	2108.000000	1947.000000	2471.000000	568250	865635	Tue Oct 13 13:09:02 2020
1.336346	1777.000000	1633.000000	2111.000000	568250	982410	Tue Oct 13 14:11:29 2020
1.002260	1368.000000	1255.000000	1785.000000	568250	1150112	Tue Oct 13 15:18:51 2020
0.751695	1090.000000	961.000000	1373.000000	568250	1382227	Tue Oct 13 16:33:38 2020
0.563771	742.000000	653.000000	1091.000000	568250	1693761	Tue Oct 13 17:59:56 2020
0.422828	458.000000	392.000000	742.000000	568250	2092482	Tue Oct 13 19:44:44 2020
0.317121	252.000000	204.000000	460.000000	508334	2273000	Tue Oct 13 21:38:17 2020
0.237841	112.000000	78.000000	253.000000	442467	2273000	Tue Oct 13 23:31:37 2020
0.178381	29.000000	16.000000	112.000000	406158	2273000	Wed Oct 14 01:24:59 2020
0.133786	6.000000	3.000000	29.000000	393598	2273000	Wed Oct 14 03:18:20 2020
0.100339	2.000000	1.000000	7.000000	394254	2273000	Wed Oct 14 05:11:39 2020
0.075254	1.000000	1.000000	2.000000	393347	2273000	Wed Oct 14 07:04:59 2020
0.056441	1.000000	1.000000	1.000000	392607	2273000	Wed Oct 14 08:58:19 2020
