temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	592.000000	531.000000	684.000000	134000	134770	Fri Oct 23 14:31:47 2020
75.000000	636.000000	526.000000	700.000000	134000	135021	Fri Oct 23 14:34:13 2020
56.250000	587.000000	492.000000	678.000000	134000	135363	Fri Oct 23 14:36:34 2020
42.187500	580.000000	524.000000	691.000000	134000	135723	Fri Oct 23 14:38:28 2020
31.640625	660.000000	518.000000	669.000000	134000	136508	Fri Oct 23 14:40:26 2020
23.730469	579.000000	507.000000	675.000000	134000	137132	Fri Oct 23 14:42:57 2020
17.797852	583.000000	508.000000	652.000000	134000	138352	Fri Oct 23 14:45:02 2020
13.348389	595.000000	499.000000	649.000000	134000	139637	Fri Oct 23 14:46:59 2020
10.011292	595.000000	489.000000	669.000000	134000	141651	Fri Oct 23 14:48:54 2020
7.508469	566.000000	467.000000	627.000000	134000	144280	Fri Oct 23 14:50:54 2020
5.631351	521.000000	443.000000	599.000000	134000	148160	Fri Oct 23 14:52:49 2020
4.223514	534.000000	425.000000	556.000000	134000	152998	Fri Oct 23 14:55:13 2020
3.167635	476.000000	387.000000	536.000000	134000	159813	Fri Oct 23 14:57:22 2020
2.375726	426.000000	370.000000	492.000000	134000	169100	Fri Oct 23 14:59:39 2020
1.781795	376.000000	313.000000	441.000000	134000	181932	Fri Oct 23 15:02:17 2020
1.336346	324.000000	280.000000	396.000000	134000	198792	Fri Oct 23 15:04:31 2020
1.002260	260.000000	216.000000	326.000000	134000	224129	Fri Oct 23 15:06:45 2020
0.751695	221.000000	168.000000	260.000000	134000	257697	Fri Oct 23 15:09:16 2020
0.563771	149.000000	117.000000	221.000000	134000	302124	Fri Oct 23 15:11:54 2020
0.422828	79.000000	71.000000	151.000000	134000	357435	Fri Oct 23 15:14:50 2020
0.317121	57.000000	35.000000	80.000000	134000	419487	Fri Oct 23 15:18:32 2020
0.237841	23.000000	14.000000	57.000000	134000	472748	Fri Oct 23 15:22:16 2020
0.178381	9.000000	4.000000	23.000000	134000	509429	Fri Oct 23 15:27:11 2020
0.133786	3.000000	3.000000	11.000000	134000	520868	Fri Oct 23 15:31:37 2020
0.100339	1.000000	1.000000	4.000000	134000	529375	Fri Oct 23 15:37:14 2020
0.075254	0.000000	0.000000	1.000000	134000	527803	Fri Oct 23 15:42:43 2020
0.056441	0.000000	0.000000	0.000000	134000	533058	Fri Oct 23 15:47:05 2020
