temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	2938.000000	2673.000000	3070.000000	370500	373608	Sun Feb 14 10:57:53 2021
75.000000	2871.000000	2640.000000	3042.000000	370500	374640	Sun Feb 14 11:20:06 2021
56.250000	2855.000000	2675.000000	3026.000000	370500	376051	Sun Feb 14 11:41:57 2021
42.187500	2850.000000	2659.000000	3009.000000	370500	377903	Sun Feb 14 12:04:06 2021
31.640625	2843.000000	2635.000000	3027.000000	370500	380441	Sun Feb 14 12:26:05 2021
23.730469	2685.000000	2565.000000	2967.000000	370500	383958	Sun Feb 14 12:48:16 2021
17.797852	2602.000000	2571.000000	2896.000000	370500	388244	Sun Feb 14 13:10:19 2021
13.348389	2689.000000	2526.000000	2851.000000	370500	394545	Sun Feb 14 13:32:38 2021
10.011292	2665.000000	2440.000000	2798.000000	370500	403110	Sun Feb 14 13:55:20 2021
7.508469	2483.000000	2328.000000	2727.000000	370500	414477	Sun Feb 14 14:18:31 2021
5.631351	2397.000000	2268.000000	2561.000000	370500	430306	Sun Feb 14 14:40:55 2021
4.223514	2333.000000	2121.000000	2439.000000	370500	451975	Sun Feb 14 15:04:25 2021
3.167635	2139.000000	1945.000000	2361.000000	370500	482701	Sun Feb 14 15:28:09 2021
2.375726	1909.000000	1767.000000	2139.000000	370500	525490	Sun Feb 14 15:52:00 2021
1.781795	1606.000000	1543.000000	1909.000000	370500	587660	Sun Feb 14 16:16:55 2021
1.336346	1449.000000	1272.000000	1611.000000	370500	674568	Sun Feb 14 16:43:18 2021
1.002260	1161.000000	1048.000000	1449.000000	370500	802693	Sun Feb 14 17:11:12 2021
0.751695	876.000000	778.000000	1161.000000	370500	986431	Sun Feb 14 17:42:59 2021
0.563771	633.000000	573.000000	880.000000	370500	1249370	Sun Feb 14 18:18:19 2021
0.422828	417.000000	395.000000	633.000000	342631	1482000	Sun Feb 14 18:55:27 2021
0.317121	290.000000	228.000000	417.000000	269904	1482000	Sun Feb 14 19:31:33 2021
0.237841	143.000000	117.000000	290.000000	216822	1482000	Sun Feb 14 20:08:25 2021
0.178381	57.000000	51.000000	143.000000	187265	1482000	Sun Feb 14 20:45:03 2021
0.133786	26.000000	20.000000	57.000000	174299	1482000	Sun Feb 14 21:21:06 2021
0.100339	13.000000	13.000000	26.000000	172090	1482000	Sun Feb 14 21:55:59 2021
0.075254	7.000000	7.000000	13.000000	167997	1482000	Sun Feb 14 22:31:07 2021
0.056441	7.000000	7.000000	7.000000	168574	1482000	Sun Feb 14 23:07:02 2021
