temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	3139.000000	3039.000000	3437.000000	498250	501847	Tue Feb 16 12:25:09 2021
75.000000	3221.000000	3018.000000	3449.000000	498250	502992	Tue Feb 16 13:04:03 2021
56.250000	3253.000000	3036.000000	3399.000000	498250	504632	Tue Feb 16 13:43:00 2021
42.187500	3150.000000	3004.000000	3368.000000	498250	506649	Tue Feb 16 14:22:00 2021
31.640625	3147.000000	2985.000000	3349.000000	498250	509581	Tue Feb 16 15:01:00 2021
23.730469	3161.000000	2963.000000	3314.000000	498250	513496	Tue Feb 16 15:40:06 2021
17.797852	2991.000000	2864.000000	3276.000000	498250	518941	Tue Feb 16 16:19:12 2021
13.348389	2953.000000	2876.000000	3248.000000	498250	525658	Tue Feb 16 16:58:28 2021
10.011292	2990.000000	2813.000000	3155.000000	498250	535100	Tue Feb 16 17:37:51 2021
7.508469	2851.000000	2685.000000	3075.000000	498250	548191	Tue Feb 16 18:17:28 2021
5.631351	2699.000000	2583.000000	2984.000000	498250	565555	Tue Feb 16 18:57:25 2021
4.223514	2560.000000	2440.000000	2787.000000	498250	589879	Tue Feb 16 19:37:52 2021
3.167635	2443.000000	2246.000000	2609.000000	498250	623175	Tue Feb 16 20:18:56 2021
2.375726	2201.000000	2094.000000	2440.000000	498250	670896	Tue Feb 16 21:00:59 2021
1.781795	2005.000000	1856.000000	2207.000000	498250	737158	Tue Feb 16 21:44:30 2021
1.336346	1719.000000	1566.000000	2017.000000	498250	832221	Tue Feb 16 22:29:54 2021
1.002260	1429.000000	1318.000000	1719.000000	498250	966614	Tue Feb 16 23:17:51 2021
0.751695	1113.000000	1033.000000	1432.000000	498250	1158514	Wed Feb 17 00:09:47 2021
0.563771	832.000000	756.000000	1117.000000	498250	1428820	Wed Feb 17 01:07:56 2021
0.422828	601.000000	526.000000	838.000000	498250	1805713	Wed Feb 17 02:18:30 2021
0.317121	369.000000	327.000000	603.000000	436992	1993000	Wed Feb 17 03:34:46 2021
0.237841	176.000000	155.000000	370.000000	354008	1993000	Wed Feb 17 04:50:08 2021
0.178381	85.000000	67.000000	177.000000	308427	1993000	Wed Feb 17 06:05:19 2021
0.133786	29.000000	26.000000	85.000000	287834	1993000	Wed Feb 17 07:20:30 2021
0.100339	13.000000	13.000000	29.000000	279831	1993000	Wed Feb 17 08:35:41 2021
0.075254	11.000000	11.000000	13.000000	279674	1993000	Wed Feb 17 09:50:52 2021
0.056441	9.000000	9.000000	11.000000	277681	1993000	Wed Feb 17 11:06:01 2021
0.042331	9.000000	9.000000	9.000000	277128	1993000	Wed Feb 17 12:21:12 2021
